UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
P25099,Adora1,AA1R_RAT,Adenosine receptor A1,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL318,1007,False
P25100,ADRA1D,ADA1D_HUMAN,Alpha-1d adrenergic receptor,A,Class A (Rhodopsin),Adrenoceptors,Homo sapiens,CHEMBL223,1341,False
P25101,EDNRA,EDNRA_HUMAN,Endothelin receptor ET-A,A,Class A (Rhodopsin),Endothelin receptors,Homo sapiens,CHEMBL252,953,False
P25102,Hrh2,HRH2_RAT,Histamine H2 receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4654,92,False
P25103,TACR1,NK1R_HUMAN,Neurokinin 1 receptor,A,Class A (Rhodopsin),Tachykinin receptors,Homo sapiens,CHEMBL249,1831,True
P25104,AGTR1,AGTR1_BOVIN,Type-1 angiotensin II receptor,A,Class A (Rhodopsin),,Bos taurus,CHEMBL3374,108,False
P25105,PTAFR,PTAFR_HUMAN,Platelet activating factor receptor,A,Class A (Rhodopsin),Platelet-activating factor receptors,Homo sapiens,CHEMBL250,117,True
P25106,ACKR3,ACKR3_HUMAN,C-X-C chemokine receptor type 7,A,Class A (Rhodopsin),Chemokine receptors,Homo sapiens,CHEMBL2010631,286,True
P25116,F2R,PAR1_HUMAN,Proteinase-activated receptor 1,A,Class A (Rhodopsin),Proteinase-activated receptors,Homo sapiens,CHEMBL3974,675,True
P25929,NPY1R,NPY1R_HUMAN,Neuropeptide Y receptor type 1,A,Class A (Rhodopsin),Neuropeptide Y receptors,Homo sapiens,CHEMBL4777,1136,True
P25962,Adrb3,ADRB3_MOUSE,Beta-3 adrenergic receptor,,,,Mus musculus,CHEMBL4030,1,False
P26255,Adrb3,ADRB3_RAT,Beta-3 adrenergic receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4031,129,False
P26684,Ednra,EDNRA_RAT,Endothelin-1 receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4566,425,False
P28190,ADORA1,AA1R_BOVIN,Adenosine receptor A1,A,Class A (Rhodopsin),,Bos taurus,CHEMBL4975,333,False
P28221,HTR1D,5HT1D_HUMAN,Serotonin 1d (5-HT1d) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL1983,908,True
P28222,HTR1B,5HT1B_HUMAN,Serotonin 1b (5-HT1b) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL1898,1004,True
P28223,HTR2A,5HT2A_HUMAN,Serotonin 2a (5-HT2a) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL224,4767,True
P28335,HTR2C,5HT2C_HUMAN,Serotonin 2c (5-HT2c) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL225,3247,True
P28336,NMBR,NMBR_HUMAN,Neuromedin B receptor,A,Class A (Rhodopsin),Bombesin receptors,Homo sapiens,CHEMBL3636,93,False
P28564,Htr1b,5HT1B_RAT,5-hydroxytryptamine receptor 1B,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3459,36,False
P28565,Htr1d,5HT1D_RAT,5-hydroxytryptamine receptor 1D,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL5450,8,False
P28566,HTR1E,5HT1E_HUMAN,Serotonin 1e (5-HT1e) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL2182,289,True
P28647,Adora3,AA3R_RAT,Adenosine receptor A3,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3360,210,False
P29089,Agtr1b,AGTRB_RAT,Type-1 angiotensin II receptor B,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL263,628,False
P29274,ADORA2A,AA2AR_HUMAN,Adenosine A2a receptor,A,Class A (Rhodopsin),Adenosine receptors,Homo sapiens,CHEMBL251,5628,True
P29275,ADORA2B,AA2BR_HUMAN,Adenosine A2b receptor,A,Class A (Rhodopsin),Adenosine receptors,Homo sapiens,CHEMBL255,3931,True
P29276,Adora2b,AA2BR_RAT,Adenosine receptor A2b,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL2592,22,False
